start,Bass
-41.1647,146.7716
-41.1652,146.7706
end
start,Bass
-41.1533,146.7827
-41.1533,146.7828
-41.1533,146.7828
-41.1533,146.7827
end
start,Bass
-41.4432,147.1218
-41.4428,147.1224
-41.4429,147.1223
-41.4432,147.1218
end
start,Bass
-41.4426,147.1226
-41.4426,147.1227
-41.4426,147.1227
-41.4426,147.1226
end
start,Bass
-41.4423,147.1232
-41.4422,147.1234
-41.4422,147.1233
-41.4423,147.1232
end
start,Bass
-41.4422,147.1234
-41.4421,147.1234
-41.4421,147.1234
-41.4422,147.1234
end
start,Bass
-41.4416,147.1242
-41.4414,147.1245
-41.4415,147.1245
-41.4416,147.1244
-41.4416,147.1242
end
start,Bass
-41.4409,147.1253
-41.4397,147.1271
-41.4405,147.1263
-41.4409,147.1253
end
start,Bass
-41.4345,147.1727
-41.4344,147.1721
-41.4344,147.1726
-41.4345,147.1727
end
start,Bass
-41.4342,147.1710
-41.4337,147.1686
-41.4332,147.1687
-41.4327,147.1697
-41.4342,147.1710
end
start,Bass
-41.4215,147.1436
-41.4265,147.1426
-41.4256,147.1421
-41.4215,147.1436
end
start,Bass
-41.3523,147.0836
-41.3537,147.0866
-41.3530,147.0845
-41.3523,147.0836
end
start,Bass
-41.3519,147.0824
-41.3525,147.0815
-41.3522,147.0819
-41.3519,147.0824
end
start,Bass
-41.0638,146.7939
-41.0638,146.7938
-41.0638,146.7939
-41.0638,146.7939
end
start,Bass
-41.0274,146.9592
-41.0258,146.9494
-41.0253,146.9563
-41.0274,146.9592
end
start,Bass
-41.0348,147.1348
-41.0339,147.1410
-41.0352,147.1370
-41.0348,147.1348
end
start,Bass
-41.0311,147.1579
-41.0274,147.1585
-41.0289,147.1603
-41.0311,147.1579
end
start,Bass
-41.0108,147.4321
-41.0112,147.4330
-41.0111,147.4324
-41.0108,147.4321
end
start,Bass
-41.0113,147.4346
-41.0108,147.4348
-41.0111,147.4348
-41.0113,147.4346
end
start,Bass
-40.8653,147.7563
-40.8651,147.7564
-40.8651,147.7564
-40.8652,147.7565
-40.8653,147.7563
end
start,Bass
-40.8692,147.9123
-40.8693,147.9119
-40.8690,147.9118
-40.8689,147.9119
-40.8692,147.9123
end
start,Bass
-40.8701,147.9095
-40.8705,147.9082
-40.8700,147.9085
-40.8701,147.9095
end
start,Bass
-40.8705,147.9082
-40.8709,147.9067
-40.8710,147.9064
-40.8696,147.9069
-40.8705,147.9082
end
start,Bass
-40.7729,148.0391
-40.7717,148.0389
-40.7725,148.0394
-40.7729,148.0391
end
start,Bass
-40.8296,148.1747
-40.8296,148.1752
-40.8296,148.1752
-40.8297,148.1747
-40.8296,148.1747
end
start,Bass
-39.9123,147.8000
-39.9108,147.8016
-39.9083,147.8008
-39.9025,147.7950
-39.8998,147.7897
-39.9008,147.7874
-39.8980,147.7851
-39.8962,147.7783
-39.8737,147.7481
-39.8731,147.7525
-39.8700,147.7560
-39.8694,147.7617
-39.8666,147.7639
-39.8663,147.7695
-39.8629,147.7718
-39.8596,147.7714
-39.8581,147.7746
-39.8565,147.7729
-39.8500,147.7825
-39.8511,147.7831
-39.8524,147.7927
-39.8509,147.7896
-39.8446,147.7997
-39.8430,147.7996
-39.8420,147.8032
-39.8366,147.8020
-39.8353,147.8036
-39.8359,147.8186
-39.8380,147.8234
-39.8362,147.8250
-39.8370,147.8438
-39.8366,147.8439
-39.8336,147.8434
-39.8226,147.8508
-39.8172,147.8492
-39.8126,147.8445
-39.8140,147.8430
-39.8132,147.8416
-39.8111,147.8424
-39.8088,147.8408
-39.8035,147.8478
-39.8022,147.8521
-39.8003,147.8523
-39.7978,147.8626
-39.7961,147.8632
-39.7941,147.8609
-39.7937,147.8646
-39.7867,147.8697
-39.7839,147.8680
-39.7820,147.8688
-39.7815,147.8666
-39.7790,147.8650
-39.7767,147.8684
-39.7742,147.8682
-39.7637,147.8558
-39.7507,147.8479
-39.7578,147.8721
-39.7618,147.8785
-39.7613,147.8841
-39.7579,147.8916
-39.7542,147.8939
-39.7490,147.9039
-39.7465,147.9052
-39.7463,147.9141
-39.7449,147.9141
-39.7443,147.9195
-39.7394,147.9212
-39.7409,147.9235
-39.7379,147.9255
-39.7329,147.9344
-39.7317,147.9337
-39.7262,147.9365
-39.7238,147.9400
-39.7226,147.9375
-39.7218,147.9414
-39.7195,147.9417
-39.7246,147.9541
-39.7279,147.9572
-39.7284,147.9605
-39.7270,147.9634
-39.7320,147.9557
-39.7449,147.9559
-39.7562,147.9591
-39.7599,147.9617
-39.7615,147.9608
-39.7632,147.9630
-39.7728,147.9667
-39.7743,147.9694
-39.7719,147.9716
-39.7647,147.9681
-39.7591,147.9675
-39.7694,147.9794
-39.7729,147.9805
-39.7792,147.9907
-39.7725,147.9885
-39.7743,147.9881
-39.7301,147.9606
-39.7629,147.9857
-39.7810,148.0086
-39.8136,148.0371
-39.8427,148.0695
-39.8969,148.1219
-39.8968,148.1190
-39.8945,148.1178
-39.8960,148.1144
-39.8947,148.1096
-39.8949,148.1079
-39.9234,148.1510
-39.9388,148.1712
-39.9466,148.1860
-39.9431,148.1771
-39.9443,148.1775
-39.9425,148.1709
-39.9520,148.1772
-39.9586,148.2345
-39.9678,148.2660
-39.9651,148.2911
-39.9858,148.2829
-40.0085,148.2792
-40.0225,148.2798
-40.0500,148.2858
-40.0679,148.2862
-40.0987,148.2497
-40.1000,148.2465
-40.1031,148.2445
-40.1000,148.2415
-40.0997,148.2426
-40.0999,148.2414
-40.1017,148.2379
-40.1078,148.2349
-40.1210,148.2232
-40.1239,148.2253
-40.1277,148.2340
-40.1229,148.2400
-40.1257,148.2511
-40.1201,148.2586
-40.1164,148.2791
-40.1138,148.2805
-40.1125,148.2838
-40.1038,148.2821
-40.0807,148.2876
-40.1102,148.2931
-40.1609,148.3121
-40.1740,148.3148
-40.1826,148.3184
-40.2025,148.3317
-40.2091,148.3341
-40.2313,148.2832
-40.2218,148.2725
-40.2169,148.2720
-40.2174,148.2680
-40.2125,148.2658
-40.2127,148.2622
-40.2098,148.2589
-40.2091,148.2333
-40.2106,148.2102
-40.2189,148.1932
-40.2239,148.1919
-40.2268,148.1888
-40.2288,148.1906
-40.2365,148.1887
-40.2418,148.1840
-40.2439,148.1837
-40.2465,148.1862
-40.2498,148.1853
-40.2500,148.1786
-40.2528,148.1745
-40.2524,148.1679
-40.2577,148.1646
-40.2623,148.1516
-40.2614,148.1519
-40.2605,148.1533
-40.2599,148.1534
-40.2613,148.1517
-40.2629,148.1510
-40.2656,148.1440
-40.2652,148.1381
-40.2689,148.1353
-40.2668,148.1297
