start,Lingiari
-11.6843,136.1457
-11.7057,136.1539
-11.7254,136.1314
-11.7125,136.1262
end
start,Lingiari
-11.5854,136.2797
-11.6031,136.2812
-11.6035,136.3158
-11.5801,136.2954
-11.5708,136.3088
-11.5887,136.3406
-11.5494,136.3607
-11.5840,136.3771
-11.6415,136.2968
-11.6222,136.2897
-11.6210,136.2646
-11.6621,136.2614
-11.6680,136.2307
-11.6529,136.2237
-11.6741,136.2143
-11.6658,136.2039
-11.6930,136.1595
-11.6751,136.1808
-11.6410,136.1695
-11.6565,136.2075
-11.6418,136.2099
-11.6456,136.2307
-11.6183,136.2235
-11.6202,136.2425
-11.6003,136.2397
-11.5725,136.2651
-11.5854,136.2797
end
start,Lingiari
-11.6530,136.0560
-11.7192,135.9933
-11.7039,135.9906
-11.7149,135.9814
-11.6960,135.9501
-11.6705,135.9601
