start,Lingiari
-12.0707,131.0650
-12.0700,131.0633
end
start,Lingiari
-12.0531,131.0031
-12.0361,131.0233
-12.0340,131.0640
-12.0340,131.0640
-12.0549,131.0437
-12.0554,131.0421
-12.0535,131.0039
-12.0531,131.0031
end
start,Lingiari
-12.0601,136.1392
-12.0604,136.1396
-12.0552,136.1558
-12.0554,136.1561
-12.0534,136.1612
-12.0534,136.1612
-12.0534,136.1612
-12.0534,136.1612
-12.0534,136.1612
-12.0511,136.1562
-12.0509,136.1562
-12.0503,136.1544
-12.0442,136.1412
-12.0433,136.1421
-12.0381,136.1403
-12.0396,136.1313
-12.0396,136.1313
-12.0258,136.1332
-12.0267,136.1355
-12.0343,136.1461
-12.0376,136.1462
-12.0410,136.1554
-12.0410,136.1554
-12.0410,136.1554
-12.0403,136.1603
-12.0370,136.1645
-12.0339,136.1642
-12.0329,136.1703
-12.0299,136.1726
-12.0256,136.1735
-12.0132,136.1714
-12.0132,136.1714
-12.0188,136.1737
-12.0229,136.1829
-12.0291,136.1853
-12.0271,136.1874
-12.0270,136.1925
-12.0270,136.1925
-12.0158,136.1911
-12.0156,136.1915
-12.0110,136.1941
-12.0064,136.1899
-12.0007,136.1892
-12.0007,136.1892
-12.0008,136.1926
-12.0043,136.1915
-12.0059,136.1936
-12.0061,136.1985
-12.0019,136.2017
-11.9963,136.2022
-11.9962,136.2026
-11.9963,136.2029
-12.0185,136.1985
-12.0195,136.1996
-12.0219,136.1998
-12.0268,136.2039
-12.0359,136.2176
-12.0323,136.2237
-12.0321,136.2237
-12.0244,136.2361
-12.0245,136.2379
-12.0211,136.2423
