start,Denison
-40.2098,148.2589
-40.2106,148.2102
-40.2189,148.1932
-40.2498,148.1853
-40.2740,148.1221
-40.2495,148.0461
-40.2258,148.0252
-40.2041,148.0418
-40.1705,148.0176
-40.1053,148.0070
-40.0751,147.9639
-40.0990,147.9536
-40.0346,147.9338
-40.0233,147.8590
-39.9761,147.9067
-39.9073,147.8800
-39.8979,147.8482
-39.9123,147.8000
end
start,Franklin
-43.5044,147.2813
-43.4924,147.2463
-43.4403,147.2458
-43.4370,147.2014
-43.4266,147.2403
-43.4139,147.2417
-43.4195,147.2361
-43.4125,147.2272
-43.4180,147.2028
-43.4449,147.1989
-43.4531,147.2035
-43.4712,147.1795
-43.4888,147.1828
-43.4838,147.1554
-43.4967,147.1464
-43.4581,147.1356
-43.4190,147.0918
-43.4113,147.1158
-43.4638,147.1593
-43.4584,147.1796
-43.4378,147.1742
-43.4287,147.1924
-43.4087,147.1678
-43.3876,147.1858
-43.3525,147.1790
-43.3827,147.2052
-43.3623,147.2180
-43.3645,147.2342
-43.3398,147.2223
-43.2955,147.2710
-43.2410,147.2917
-43.2970,147.3058
-43.2947,147.3176
-43.2884,147.3288
-43.2614,147.3548
-43.2300,147.3561
-43.2190,147.3411
-43.2090,147.3820
-43.1760,147.3789
-43.1852,147.3317
-43.1699,147.3422
-43.1808,147.2994
-43.1684,147.3009
-43.1660,147.2759
-43.1570,147.2960
-43.1443,147.2821
-43.1342,147.3102
-43.1522,147.3292
-43.1365,147.3372
-43.1407,147.3559
-43.1135,147.3611
-43.1309,147.3284
-43.1148,147.3300
-43.1133,147.3066
-43.0635,147.3570
-43.0758,147.3655
-43.0787,147.3656
-43.0806,147.3627
-43.0869,147.3626
-43.0905,147.3673
-43.0886,147.3714
-43.0892,147.3744
-43.0946,147.3765
-43.0984,147.3751
-43.1018,147.3781
-43.1015,147.3828
-43.1032,147.3828
-43.1046,147.3852
-43.1088,147.3838
-43.1098,147.3865
-43.1150,147.3887
-43.1151,147.3914
-43.1164,147.3890
-43.1215,147.3899
-43.1225,147.3961
-43.1272,147.4007
-43.1291,147.4001
-43.1294,147.3979
-43.1314,147.3983
-43.1315,147.3997
-43.1359,147.3984
-43.1374,147.3942
-43.1417,147.3950
-43.1431,147.3969
-43.1445,147.3929
-43.1503,147.3948
-43.1524,147.3918
-43.1551,147.3910
-43.1573,147.3936
-43.1624,147.3924
-43.1868,147.4110
-43.1902,147.4083
-43.1928,147.4093
-43.1941,147.4133
-43.1948,147.4115
-43.1978,147.4104
-43.2017,147.4116
-43.2058,147.4163
-43.2054,147.4252
-43.2067,147.4261
-43.2070,147.4249
-43.2090,147.4279
-43.2448,147.4305
-43.2487,147.4290
-43.2508,147.4310
-43.2504,147.4204
-43.2429,147.4191
-43.2405,147.4159
-43.2415,147.4060
-43.2436,147.4024
-43.2428,147.4010
-43.2487,147.3842
-43.2569,147.3679
-43.2703,147.3490
-43.2834,147.3358
-43.2981,147.3252
-43.3098,147.3203
-43.3171,147.3237
-43.3181,147.3227
-43.3188,147.3244
-43.3214,147.3232
-43.3230,147.3243
-43.3254,147.3224
-43.3273,147.3238
-43.3306,147.3232
-43.3323,147.3252
-43.3353,147.3221
-43.3396,147.3237
-43.3418,147.3216
-43.3455,147.3217
-43.3440,147.3209
-43.3438,147.3204
-43.3439,147.3203
-43.3547,147.3268
-43.3583,147.3269
-43.3634,147.3322
-43.3669,147.3400
-43.3661,147.3349
-43.3677,147.3344
-43.3667,147.3358
-43.3686,147.3479
-43.3677,147.3504
-43.3640,147.3526
-43.3626,147.3579
-43.3586,147.3585
-43.3557,147.3633
-43.3504,147.3665
-43.3514,147.3699
-43.3535,147.3691
-43.3537,147.3705
-43.3893,147.3793
-43.3909,147.3771
-43.3889,147.3741
-43.3900,147.3726
-43.3890,147.3702
-43.3905,147.3696
-43.3918,147.3712
-43.3934,147.3696
-43.3914,147.3685
-43.3921,147.3644
-43.3983,147.3592
-43.4002,147.3609
-43.4020,147.3599
-43.4042,147.3555
-43.4024,147.3519
-43.4052,147.3512
-43.4052,147.3485
-43.4085,147.3478
-43.4104,147.3490
-43.4156,147.3471
-43.4179,147.3413
-43.4232,147.3379
-43.4391,147.3351
-43.4414,147.3314
-43.4460,147.3285
-43.4614,147.3249
-43.4695,147.3207
-43.4756,147.3205
-43.4844,147.3245
-43.4925,147.3257
-43.5026,147.3239
-43.5011,147.3162
-43.5076,147.3080
-43.5104,147.3015
-43.5123,147.3029
-43.5161,147.2947
-43.5044,147.2813
end
start,Franklin
-42.9766,147.3919
-42.9764,147.3919
-42.9769,147.3922
-42.9769,147.3921
-42.9766,147.3919
end
start,Franklin
-42.7710,147.4685
-42.7678,147.4667
-42.7682,147.4644
-42.7572,147.4486
-42.7563,147.4497
-42.7561,147.4476
-42.7583,147.4458
-42.7689,147.4490
-42.7767,147.4590
-42.7744,147.4549
-42.7756,147.4491
-42.7740,147.4346
-42.7814,147.4351
-42.7862,147.4374
-42.7954,147.4464
-42.7962,147.4447
-42.7967,147.4470
-42.7992,147.4471
-42.7986,147.4494
-42.8095,147.4599
-42.8119,147.4657
-42.8126,147.4757
-42.8115,147.4818
-42.8117,147.4799
-42.8103,147.4837
-42.8079,147.4854
-42.8107,147.4838
-42.8125,147.4877
-42.8135,147.4888
-42.8150,147.4898
-42.8128,147.4775
-42.8207,147.4716
-42.8267,147.4811
-42.8288,147.4884
-42.8279,147.4911
-42.8190,147.5025
-42.8163,147.5027
-42.8113,147.5131
-42.8217,147.5144
-42.8258,147.5178
-42.8279,147.5222
-42.8251,147.5785
-42.8459,147.6133
-42.8446,147.6052
-42.8382,147.5891
-42.8378,147.5645
-42.8423,147.5432
-42.8473,147.5291
-42.8549,147.5155
-42.8642,147.5036
-42.9061,147.4948
-42.9112,147.4949
-42.9163,147.4986
-42.9168,147.5048
-42.9212,147.5126
-42.9257,147.5157
-42.9253,147.5200
-42.9313,147.5305
-42.9512,147.5358
-42.9532,147.5341
-42.9569,147.5341
-42.9616,147.5386
-42.9521,147.5164
-42.9673,147.5091
-42.9851,147.5286
-42.9749,147.5392
-42.9620,147.5276
-42.9643,147.5377
-42.9593,147.5418
-42.9759,147.5495
-42.9822,147.5497
-42.9857,147.5540
-42.9884,147.5344
-42.9927,147.5237
-43.0136,147.5219
-43.0157,147.5198
-43.0170,147.5216
-43.0208,147.5213
-43.0194,147.5148
-43.0213,147.5124
-43.0220,147.5004
-43.0269,147.4841
-43.0308,147.4821
-43.0326,147.4770
-43.0335,147.4566
-43.0369,147.4412
-43.0432,147.4230
-43.0504,147.4188
-42.9759,147.3918
-42.9629,147.4087
-43.0276,147.4301
-43.0257,147.4702
-42.9821,147.4784
-42.9701,147.4653
-42.9783,147.4453
-42.9645,147.4460
-42.9234,147.4647
-42.9271,147.4914
-42.9095,147.4836
-42.9086,147.4350
-42.9397,147.4214
-42.9388,147.4089
-42.9088,147.4173
-42.8842,147.4046
-42.8757,147.3524
-42.8486,147.3586
-42.8457,147.3377
-42.8351,147.3470
-42.8410,147.3337
-42.8166,147.3199
-42.8010,147.2816
-42.7897,147.2927
-42.7784,147.2646
-42.7565,147.2583
-42.7546,147.2693
-42.7561,147.2725
-42.7556,147.2768
-42.7540,147.2792
-42.7455,147.2816
-42.7471,147.2887
-42.7489,147.2901
-42.7491,147.2886
-42.7526,147.2895
-42.7525,147.2910
-42.7655,147.2925
-42.7734,147.3003
-42.7821,147.3115
-42.7808,147.3259
-42.7634,147.3240
-42.7632,147.3188
-42.7336,147.3296
-42.7445,147.3452
-42.7315,147.3669
-42.7296,147.3645
-42.7286,147.3656
-42.7086,147.3921
-42.7068,147.3929
-42.6871,147.3849
-42.6844,147.3856
-42.6862,147.4004
-42.6845,147.4007
-42.6855,147.4096
-42.6813,147.4109
-42.6816,147.4141
-42.6777,147.4151
-42.6795,147.4298
-42.6752,147.4275
-42.6789,147.4645
-42.6814,147.4635
-42.6857,147.4925
-42.6958,147.4899
-42.7000,147.5234
-42.7012,147.5237
-42.7082,147.5102
-42.7142,147.5143
-42.7180,147.5005
-42.7070,147.4875
-42.7061,147.4799
-42.7171,147.4776
-42.7166,147.4734
-42.7303,147.4701
-42.7315,147.4665
-42.7325,147.4697
-42.7343,147.4690
-42.7339,147.4750
-42.7517,147.4788
-42.7570,147.4832
-42.7636,147.4843
-42.7700,147.4891
-42.7710,147.4685
end
start,Franklin
-42.9688,147.4028
-42.9686,147.4031
-42.9685,147.4031
-42.9686,147.4028
-42.9688,147.4028
end
start,Franklin
-42.7688,147.4654
-42.7686,147.4650
-42.7687,147.4652
-42.7688,147.4654
end
start,Franklin
-42.9616,147.5386
-42.9616,147.5386
-42.9616,147.5386
-42.9616,147.5386
end
start,Franklin
-42.7570,147.2567
-42.7570,147.2567
-42.7570,147.2567
-42.7570,147.2567
end
start,Franklin
-42.7610,147.2449
-42.7654,147.2532
-42.7663,147.2493
-42.7636,147.2459
-42.7644,147.2439
-42.7618,147.2428
-42.7610,147.2449
end
start,Franklin
-42.7655,147.2532
-42.7655,147.2532
-42.7655,147.2532
-42.7655,147.2532
end
start,Franklin
-42.7844,147.2528
-42.7867,147.2528
-42.7861,147.2523
-42.7844,147.2528
end
start,Franklin
-42.7867,147.2528
-42.7867,147.2529
-42.7867,147.2528
-42.7867,147.2528
end
start,Franklin
-42.7867,147.2530
-42.7868,147.2532
-42.7868,147.2532
-42.7867,147.2530
end
start,Franklin
-42.7868,147.2535
-42.7868,147.2541
-42.7869,147.2539
-42.7868,147.2535
end
start,Franklin
-42.7872,147.2578
-42.7876,147.2608
-42.7879,147.2608
-42.7888,147.2591
-42.7872,147.2578
end
start,Franklin
-42.7882,147.2664
-42.7891,147.2753
-42.7892,147.2753
-42.7907,147.2693
-42.7882,147.2664
end
start,Franklin
-42.8011,147.2577
-42.8031,147.2575
-42.8029,147.2568
-42.8019,147.2569
-42.8011,147.2577
end
start,Franklin
-42.8155,147.2608
-42.8186,147.2974
-42.8201,147.2864
-42.8188,147.2851
-42.8222,147.2841
-42.8259,147.2793
-42.8244,147.2723
-42.8196,147.2685
-42.8187,147.2638
-42.8155,147.2608
end
start,Franklin
-42.8278,147.3114
-42.8291,147.3173
-42.8298,147.3182
-42.8286,147.3120
-42.8278,147.3114
end
start,Franklin
-42.8320,147.3221
-42.8323,147.3217
-42.8315,147.3206
-42.8322,147.3219
-42.8320,147.3221
end
start,Franklin
-42.8444,147.3155
-42.8463,147.3145
