start,Barker
-34.6179,137.5094
-34.6179,137.5094
-34.5820,137.5067
-34.5599,137.4966
-34.5505,137.4889
-34.5408,137.4872
-34.5386,137.4836
-34.5353,137.4854
-34.5288,137.4833
-34.5209,137.4770
-34.5113,137.4738
-34.5113,137.4738
-34.5083,137.4744
-34.5069,137.4790
-34.4979,137.4810
-34.4955,137.4832
-34.4872,137.4831
-34.4816,137.4866
-34.4606,137.4843
-34.4538,137.4817
-34.4500,137.4858
-34.4392,137.4831
-34.4357,137.4803
-34.4277,137.4670
-34.4297,137.4721
-34.4275,137.4696
-34.4266,137.4631
-34.4279,137.4599
-34.4289,137.4613
-34.4293,137.4610
-34.4286,137.4579
-34.4300,137.4534
-34.4368,137.4460
-34.4526,137.4399
-34.4560,137.4400
-34.4647,137.4332
-34.4697,137.4281
-34.4725,137.4270
-34.4725,137.4270
-34.4725,137.4270
-34.4595,137.4151
-34.4595,137.4151
-34.4595,137.4151
-34.4439,137.4231
-34.4417,137.4277
-34.4279,137.4381
-34.4114,137.4448
-34.4015,137.4448
-34.3980,137.4466
-34.3980,137.4466
-34.3980,137.4466
-34.3966,137.4541
-34.4005,137.4579
-34.4006,137.4651
-34.3981,137.4712
-34.3924,137.4760
-34.3924,137.4760
-34.3120,137.5002
-34.312,137.5002
-34.3119,137.5002
-34.3119,137.5002
-34.3011,137.5002
-34.2977,137.5012
-34.2921,137.5002
-34.2619,137.5000
-34.2597,137.5026
-34.2535,137.5000
-34.2376,137.4999
-34.2339,137.5012
-34.2265,137.4999
-34.2265,137.4999
-34.2088,137.4901
-34.2049,137.4898
-34.1915,137.4833
-34.1865,137.4777
-34.1361,137.4497
-34.1359,137.4498
-34.1344,137.4666
-34.1377,137.475
-34.1336,137.4933
-34.1376,137.5067
-34.1348,137.5158
-34.1292,137.5222
-34.1292,137.5222
-34.0742,137.5512
-34.0741,137.5514
-34.0657,137.5573
-34.0611,137.5581
-34.0570,137.5603
-34.0537,137.5629
-34.0435,137.5675
-34.0383,137.5672
-34.0287,137.5636
-34.0144,137.5523
-34.0144,137.5523
-34.0144,137.5523
-34.0144,137.5523
-34.0088,137.5445
-34.0089,137.5439
-34.0016,137.5329
-34.0016,137.5329
-34.0016,137.5329
-34.0016,137.5329
-34.0043,137.5271
-33.9930,137.5500
-33.9933,137.5512
-33.9888,137.5586
-33.9888,137.5586
-33.9363,137.6002
-33.9357,137.6055
-33.9301,137.6144
-33.9272,137.6233
-33.9255,137.6237
